import time: self [us] | cumulative | imported package
import time:       518 |        685 |                   pandas.core.tools.datetimes
import time:      1270 |       1270 |                     pandas.plotting._core
import time:       234 |        234 |                     pandas.plotting._misc
import time:       195 |       1698 |                   pandas.plotting
import time:      3455 |       6656 |                 pandas.core.series
import time:       582 |        582 |                 pandas.io.formats.info
import time:      8276 |      53011 |               pandas.core.frame
import time:       305 |        305 |               pandas.core.groupby.base
import time:       510 |        510 |                 pandas._libs.groupby
import time:       168 |        168 |                 pandas.core.groupby.numba_
import time:       154 |        154 |                     pandas.core.groupby.categorical
import time:       422 |        576 |                   pandas.core.groupby.grouper
import time:       584 |       1159 |                 pandas.core.groupby.ops
import time:      2305 |       4140 |               pandas.core.groupby.groupby
import time:      2437 |      72205 |             pandas.core.groupby.generic
import time:       182 |      72386 |           pandas.core.groupby
import time:       287 |     161770 |         pandas.core.api
import time:       146 |        146 |         pandas.tseries.api
import time:       114 |        114 |                 pandas.core.computation.common
import time:       205 |        318 |               pandas.core.computation.align
import time:       283 |        283 |                     pprint
import time:       259 |        259 |                     pandas.compat.chainmap
import time:       348 |        890 |                   pandas.core.computation.scope
import time:       539 |       1428 |                 pandas.core.computation.ops
import time:       170 |        170 |                 pandas.core.computation.parsing
import time:      1098 |       2695 |               pandas.core.computation.expr
import time:       292 |       3304 |             pandas.core.computation.engines
import time:       188 |       3491 |           pandas.core.computation.eval
import time:       123 |       3614 |         pandas.core.computation.api
import time:       824 |        824 |           pandas.core.reshape.merge
import time:       869 |        869 |           pandas.core.reshape.pivot
import time:       366 |        366 |           pandas.core.reshape.reshape
import time:       232 |        232 |           pandas.core.reshape.tile
import time:       249 |       2537 |         pandas.core.reshape.api
import time:       198 |        198 |           pandas.api.extensions
import time:       130 |        130 |           pandas.api.indexers
import time:       135 |        135 |             pandas.core.dtypes.api
import time:       151 |        286 |           pandas.api.types
import time:       216 |        828 |         pandas.api
import time:       691 |        691 |         pandas.util._print_versions
import time:       145 |        145 |           pandas.io.clipboards
import time:       101 |        101 |                 backports_abc
import time:       584 |        684 |               pandas._libs.parsers
import time:       167 |        167 |               pandas.io.excel._util
